iter	Passed	Remaining
0	49	49806
1	50	25099
2	50	16850
3	51	12725
4	51	10250
5	51	8597
6	52	7416
7	52	6528
8	53	5838
9	53	5292
10	53	4843
11	54	4471
12	54	4155
13	55	3884
14	55	3651
15	56	3445
16	56	3264
17	56	3102
18	57	2958
19	57	2826
20	58	2710
21	58	2603
22	59	2506
23	59	2417
24	59	2335
25	60	2258
26	60	2187
27	61	2124
28	61	2067
29	62	2012
30	62	1962
31	63	1914
32	63	1869
33	64	1827
34	64	1787
35	65	1749
36	65	1713
37	66	1679
38	66	1646
39	67	1615
40	67	1586
41	68	1558
42	68	1531
43	69	1506
44	69	1481
45	70	1457
46	70	1435
47	71	1413
48	71	1392
49	72	1371
50	72	1352
51	73	1334
52	73	1316
53	74	1299
54	74	1283
55	75	1268
56	75	1252
57	76	1237
58	76	1223
59	77	1209
60	77	1195
61	78	1182
62	78	1169
63	79	1157
64	79	1145
65	80	1134
66	80	1122
67	81	1111
68	81	1100
69	82	1090
70	82	1080
71	83	1071
72	83	1061
73	84	1052
74	84	1043
75	85	1034
76	85	1026
77	86	1017
78	86	1009
79	87	1001
80	87	993
81	88	986
82	88	978
83	89	971
84	89	964
85	90	957
86	90	950
87	91	943
88	91	937
89	92	930
90	92	923
91	92	917
92	93	911
93	93	905
94	94	899
95	94	894
96	95	888
97	95	883
98	96	877
99	96	872
100	97	867
101	98	863
102	98	858
103	99	853
104	99	848
105	100	844
106	100	839
107	101	835
108	101	830
109	102	826
110	102	821
111	103	816
112	103	812
113	104	808
114	104	804
115	105	800
116	105	796
117	106	792
118	106	788
119	107	785
120	107	780
121	107	776
122	108	773
123	109	770
124	109	767
125	110	763
126	110	760
127	111	757
128	111	754
129	112	751
130	112	748
131	113	744
132	113	741
133	114	738
134	114	735
135	115	732
136	115	728
137	116	725
138	116	722
139	117	720
140	117	717
141	118	714
142	118	711
143	119	708
144	119	705
145	120	704
146	120	701
147	121	699
148	121	696
149	122	694
150	122	691
151	123	688
152	124	686
153	124	684
154	125	681
155	125	679
156	126	676
157	126	674
158	127	671
159	127	669
160	128	667
161	128	664
162	129	662
163	129	660
164	129	657
165	130	655
166	130	653
167	131	651
168	131	648
169	132	646
170	132	644
171	133	642
172	133	640
173	134	638
174	134	636
175	135	634
176	136	632
177	136	630
178	137	628
179	137	626
180	138	624
181	138	622
182	139	620
183	139	618
184	139	616
185	140	614
186	140	611
187	141	609
188	141	607
189	142	605
190	142	603
191	142	601
192	143	599
193	143	596
194	144	594
195	144	592
196	144	590
197	145	588
198	145	586
199	146	584
200	146	582
201	146	580
202	147	578
203	147	576
204	148	573
205	148	571
206	148	569
207	149	567
208	149	565
209	149	563
210	150	561
211	150	560
212	151	558
213	151	556
214	152	555
215	152	553
216	152	551
217	153	549
218	153	547
219	153	545
220	154	543
221	154	542
222	155	540
223	155	538
224	155	536
225	155	534
226	156	532
227	156	530
228	156	528
229	157	526
230	157	524
231	157	522
232	158	520
233	158	518
234	158	516
235	159	515
236	159	513
237	159	511
238	160	509
239	160	507
240	160	505
241	160	504
242	161	502
243	161	500
244	161	498
245	162	497
246	162	495
247	163	494
248	163	492
249	163	490
250	163	489
251	164	487
252	164	485
253	164	484
254	165	482
255	165	480
256	165	479
257	166	477
258	166	476
259	166	474
260	167	473
261	167	471
262	167	469
263	167	468
264	168	466
265	168	465
266	168	463
267	169	461
268	169	460
269	169	458
270	169	457
271	170	455
272	170	454
273	170	452
274	171	451
275	171	449
276	171	448
277	171	446
278	172	445
279	172	443
280	172	442
281	173	440
282	173	439
283	173	437
284	173	436
285	174	435
286	174	433
287	174	432
288	175	430
289	175	429
290	175	428
291	175	426
292	176	425
293	176	424
294	176	422
295	177	421
296	177	420
297	177	418
298	178	417
299	178	416
300	178	415
301	179	414
302	179	413
303	179	411
304	180	410
305	180	409
306	180	408
307	181	407
308	181	406
309	181	404
310	182	403
311	182	402
312	182	401
313	183	399
314	183	398
315	183	397
316	183	396
317	184	394
318	184	393
319	184	392
320	185	391
321	185	390
322	185	389
323	185	387
324	186	386
325	186	385
326	186	384
327	187	383
328	187	382
329	187	380
330	187	379
331	188	378
332	188	377
333	188	376
334	189	375
335	189	374
336	189	373
337	189	372
338	190	370
339	190	369
340	190	368
341	191	367
342	191	366
343	191	365
344	191	364
345	192	363
346	192	362
347	192	361
348	193	360
349	193	359
350	193	358
351	194	357
352	194	356
353	194	355
354	195	354
355	195	353
356	195	352
357	195	351
358	196	350
359	196	349
360	196	348
361	197	347
362	197	346
363	197	345
364	198	344
365	198	343
366	198	342
367	198	341
368	199	340
369	199	339
370	199	338
371	200	337
372	200	336
373	200	335
374	200	334
375	201	334
376	201	333
377	201	332
378	202	331
379	202	330
380	202	329
381	202	328
382	203	327
383	203	326
384	203	325
385	204	324
386	204	323
387	204	322
388	204	321
389	205	321
390	205	320
391	205	319
392	206	318
393	206	317
394	206	316
395	206	315
396	207	314
397	207	313
398	207	313
399	208	312
400	208	311
401	208	310
402	209	309
403	209	309
404	209	308
405	210	308
406	210	307
407	211	306
408	211	305
409	211	304
410	212	303
411	212	302
412	212	302
413	212	301
414	213	300
415	213	299
416	213	298
417	214	298
418	214	297
419	214	296
420	214	295
421	215	294
422	215	293
423	215	293
424	216	292
425	216	291
426	216	290
427	216	289
428	217	289
429	217	288
430	217	287
431	218	286
432	218	285
433	218	285
434	218	284
435	219	283
436	219	282
437	219	281
438	220	281
439	220	280
440	220	279
441	220	278
442	221	278
443	221	277
444	221	276
445	222	275
446	222	275
447	222	274
448	223	273
449	223	273
450	223	272
451	224	271
452	224	270
453	225	271
454	225	270
455	226	269
456	226	269
457	226	268
458	227	267
459	227	266
460	227	266
461	228	265
462	228	264
463	228	264
464	228	263
465	229	262
466	229	261
467	229	261
468	230	260
469	230	259
470	230	259
471	230	258
472	231	257
473	231	256
474	231	256
475	232	255
476	232	254
477	232	254
478	232	253
479	233	252
480	233	252
481	233	251
482	234	250
483	234	250
484	234	249
485	235	248
486	235	247
487	235	247
488	235	246
489	236	245
490	236	245
491	236	244
492	237	244
493	237	243
494	237	242
495	238	242
496	238	241
497	238	240
498	239	240
499	239	239
500	239	238
501	240	238
502	240	237
503	240	236
504	241	236
505	241	235
506	241	235
507	242	234
508	242	233
509	242	233
510	242	232
511	243	231
512	243	231
513	243	230
514	244	229
515	244	229
516	244	228
517	245	227
518	245	227
519	245	226
520	245	226
521	246	225
522	246	224
523	246	224
524	247	223
525	247	222
526	247	222
527	247	221
528	248	220
529	248	220
530	248	219
531	249	219
532	249	218
533	249	217
534	249	217
535	250	216
536	250	216
537	250	215
538	251	214
539	251	214
540	251	213
541	252	213
542	252	212
543	252	211
544	253	211
545	253	210
546	253	210
547	254	209
548	254	208
549	254	208
550	254	207
551	255	207
552	255	206
553	255	205
554	256	205
555	256	204
556	256	204
557	256	203
558	257	202
559	257	202
560	257	201
561	258	201
562	258	200
563	258	200
564	259	199
565	259	198
566	259	198
567	259	197
568	260	197
569	260	196
570	260	195
571	261	195
572	261	194
573	261	194
574	261	193
575	262	193
576	262	192
577	262	191
578	263	191
579	263	190
580	263	190
581	264	189
582	264	189
583	264	188
584	264	187
585	265	187
586	265	186
587	265	186
588	266	185
589	266	185
590	266	184
591	267	184
592	267	183
593	267	183
594	268	182
595	268	181
596	268	181
597	269	180
598	269	180
599	269	179
600	269	179
601	270	178
602	270	178
603	270	177
604	271	177
605	271	176
606	271	175
607	271	175
608	272	174
609	272	174
610	272	173
611	273	173
612	273	172
613	273	172
614	274	171
615	274	171
616	274	170
617	274	169
618	275	169
619	275	168
620	275	168
621	276	167
622	276	167
623	276	166
