iter	Passed	Remaining
0	50	49981
1	51	25753
2	53	17682
3	54	13631
4	56	11199
5	57	9553
6	59	8406
7	61	7590
8	62	6923
9	64	6378
10	65	5915
11	67	5538
12	68	5213
13	70	4998
14	72	4771
15	74	4569
16	75	4387
17	77	4217
18	78	4063
19	80	3921
20	81	3795
21	82	3682
22	84	3576
23	87	3539
24	88	3451
25	90	3376
26	91	3307
27	93	3231
28	94	3164
29	95	3103
30	97	3043
31	98	2989
32	100	2935
33	101	2882
34	102	2832
35	104	2793
36	105	2754
37	107	2716
38	108	2685
39	110	2650
40	111	2613
41	113	2578
42	114	2546
43	115	2517
44	117	2489
45	118	2466
46	120	2444
47	121	2417
48	123	2393
49	124	2368
50	125	2337
51	126	2306
52	127	2278
53	128	2249
54	129	2222
55	130	2195
56	131	2168
57	131	2142
58	133	2122
59	133	2097
60	134	2071
61	135	2046
62	135	2021
63	136	1997
64	137	1974
65	137	1952
66	138	1930
67	139	1908
68	139	1887
69	140	1867
70	141	1846
71	141	1825
72	142	1805
73	142	1785
74	143	1766
75	143	1747
76	144	1728
77	144	1710
78	145	1693
79	145	1676
80	146	1659
81	146	1643
82	147	1625
83	147	1610
84	148	1596
85	149	1587
86	149	1573
87	150	1558
88	150	1544
89	151	1530
90	151	1516
91	152	1502
92	152	1489
93	153	1476
94	153	1463
95	153	1450
96	154	1437
97	154	1425
98	155	1413
99	155	1401
100	156	1390
101	156	1378
102	156	1366
103	157	1355
104	157	1343
105	158	1332
106	158	1321
107	158	1311
108	159	1300
109	159	1290
110	159	1280
111	160	1270
112	160	1260
113	160	1250
114	161	1241
115	161	1232
116	161	1222
117	162	1213
118	162	1205
119	163	1196
120	163	1189
121	164	1180
122	164	1172
123	164	1164
124	165	1156
125	165	1148
126	165	1140
127	166	1132
128	166	1124
129	166	1117
130	167	1109
131	167	1101
132	167	1094
133	168	1087
134	168	1079
135	168	1072
136	169	1065
137	169	1058
138	169	1051
139	170	1045
140	170	1038
141	170	1031
142	170	1024
143	171	1018
144	171	1012
145	171	1005
146	172	999
147	172	993
148	172	987
149	173	981
150	173	975
151	173	969
152	174	963
153	174	957
154	174	951
155	174	946
156	175	940
157	175	934
158	175	929
159	176	924
160	176	918
161	176	912
162	176	907
163	177	902
164	177	897
165	177	892
166	177	887
167	178	882
168	178	879
169	179	875
170	179	870
171	179	865
172	180	861
173	180	856
174	180	852
175	181	847
176	181	843
177	181	839
178	181	834
179	182	830
180	182	826
181	182	822
182	183	818
183	183	814
184	183	810
185	184	806
186	184	802
187	184	798
188	185	794
189	185	790
190	185	786
191	185	782
192	186	778
193	186	775
194	186	771
195	187	767
196	187	765
197	188	762
198	188	758
199	188	754
200	189	751
201	189	747
202	189	744
203	189	740
204	190	737
205	190	734
206	190	730
207	191	727
208	191	724
209	191	720
210	191	717
211	192	714
212	192	711
213	192	708
214	193	704
215	193	701
216	195	706
217	196	704
218	196	701
219	197	698
220	197	695
221	197	692
222	197	689
223	198	686
224	198	683
225	198	680
226	199	678
227	199	675
228	199	672
229	200	669
230	200	666
231	200	664
232	200	661
233	201	658
234	201	655
235	201	653
236	202	650
237	202	647
238	202	645
239	202	642
240	203	639
241	203	637
242	203	634
243	204	632
244	204	629
245	204	627
246	204	624
247	205	622
248	205	619
249	205	617
250	205	614
251	206	612
252	206	609
253	206	607
254	207	605
255	207	602
256	207	600
257	208	598
258	208	597
259	209	595
260	209	593
261	209	591
262	210	589
263	210	587
264	210	585
265	211	582
266	211	580
267	211	578
268	212	576
269	212	574
270	212	572
271	213	570
272	213	568
273	213	566
274	213	564
275	214	562
276	214	560
277	214	557
278	215	555
279	215	554
280	215	552
281	216	551
282	216	549
283	217	547
284	217	545
285	217	543
286	217	541
287	218	539
288	218	537
289	218	535
290	219	533
291	219	531
292	219	530
293	219	528
294	220	526
295	220	524
296	220	522
297	221	520
298	221	519
299	221	517
300	221	515
301	222	513
302	222	512
303	222	510
304	223	509
305	223	507
306	224	505
307	224	504
308	224	502
309	225	500
310	225	499
311	225	497
312	225	495
313	226	494
314	226	492
315	226	491
316	227	489
317	227	487
318	227	486
319	228	484
320	228	482
321	228	481
322	228	479
323	229	478
324	229	476
325	229	474
326	230	473
327	230	471
328	230	470
329	230	468
330	231	467
331	231	465
332	231	464
333	232	462
334	232	461
335	232	459
336	232	458
337	233	456
338	233	455
339	233	453
340	233	452
341	234	450
342	234	449
343	234	447
344	235	446
345	235	444
346	235	443
347	235	442
348	236	440
349	236	439
350	236	437
351	237	436
352	237	434
353	237	433
354	237	432
355	238	430
356	238	429
357	238	428
358	239	427
359	239	425
360	239	424
361	240	423
362	240	422
363	240	420
364	241	419
365	241	418
366	241	417
367	242	415
368	242	414
369	242	413
370	242	411
371	243	410
372	243	409
373	243	407
374	244	406
375	244	405
376	244	404
377	244	403
378	245	401
379	245	400
380	245	399
381	246	398
382	246	396
383	246	395
384	246	394
385	247	393
386	247	392
387	247	390
388	248	389
389	248	388
390	248	387
391	248	386
392	249	384
393	249	383
394	249	382
395	250	381
396	250	380
397	250	379
398	250	377
399	251	376
400	251	375
401	251	374
402	252	373
403	252	372
404	252	371
405	252	370
406	253	368
407	253	367
408	253	366
409	254	365
410	254	364
411	254	363
412	255	362
413	255	361
414	255	360
415	256	359
416	256	358
417	256	357
418	256	356
419	257	355
420	257	354
421	257	353
422	258	352
423	258	351
424	258	350
425	259	349
426	259	347
427	259	346
428	259	345
429	260	344
430	260	343
431	260	342
432	261	341
433	261	340
434	261	339
435	261	338
436	262	337
437	262	336
438	262	335
439	262	334
440	263	333
441	263	332
442	263	331
443	264	330
444	264	329
445	264	328
446	264	327
447	265	326
448	265	325
449	265	324
450	266	323
451	266	323
452	266	322
453	266	321
454	267	320
455	267	319
456	267	318
457	268	317
458	268	316
459	268	315
460	269	314
461	269	313
462	269	312
463	270	312
464	270	311
465	270	310
466	271	309
467	271	308
468	271	307
469	271	306
470	272	305
471	272	304
